A;B;D
;
B;C;E
D;E;G
E;F;A
F;G;B
G;A;C
;
G;A;G
F;G;B
E;F;A
D;E;G
C;D;F
B;C;E
A;B;D
A;B;C;D
E;F;G;A
;
